item,itemLabel,country,countryLabel,place,placeLabel,language,languageLabel,pic,offurl
http://www.wikidata.org/entity/Q12719396,Vest-Telemark blad,,,,,,,,http://www.vtb.no/
http://www.wikidata.org/entity/Q55603009,A Nação,,,,,,,,https://anacao.cv
